Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source,Date_Scan,Année
,,,Nakamura,,1 322,1999,2899,https://upway.fr/products/nakamura-esummit-950s-rr5rm4,,13/05/2026,2024.0
,,,Haibike,,2 640,1749,2999,https://upway.fr/products/haibike-alltrack-4-rr5nq6,,13/05/2026,2023.0
,,,Cube,,1 812,2249,3249,https://upway.fr/products/cube-reaction-hybrid-race-625-dqp70,,13/05/2026,2022.0
,,,Cube,,1 672,1949,2849,https://upway.fr/products/cube-reaction-hybrid-pro-rr2pm7,,13/05/2026,2021.0
,,,Nakamura,,5,1549,1999,https://upway.fr/products/nakamura-950-esummit-rr5ut1,,13/05/2026,2023.0
,,,Scott,,2 410,1499,2699,https://upway.fr/products/scott-contessa-active-eride-930-rr5zt5,,13/05/2026,2022.0
,,,Cube,,371,2299,3459,https://upway.fr/products/cube-nuride-hybrid-exc-allroad-rr5fm9,,14/05/2026,2020.0
,,,Cube,,779,1899,2549,https://upway.fr/products/cube-reaction-hybrid-one-rr6eh7,,14/05/2026,2022.0
,,,Trek,,2 030,1899,4124,https://upway.fr/products/trek-powerfly-4-rr6ma2,,14/05/2026,2022.0
,,,Pegasus,,5 053,1249,3579,https://upway.fr/products/pegasus-premio-evo-10-lite-rr6dx3,,14/05/2026,2021.0
,,,Ghost,,3 219,2299,4599,https://upway.fr/products/ghost-eteru-pro-eq-rr5yp3,,14/05/2026,2023.0
,,,Cube,,5,2299,2849,https://upway.fr/products/cube-reaction-hybrid-one-625-rr5qn6,,14/05/2026,2023.0
,,,Hoheacht,,4 573,2449,5788,https://upway.fr/products/hoheacht-mola-terra-rr6bl6,,14/05/2026,2023.0
,,,Scott,,2 260,2449,6199,https://upway.fr/products/scott-contessa-spark-eride-710-rr3qh8,,14/05/2026,2018.0
,,,Giant,,987,2499,4199,https://upway.fr/products/giant-fathom-e-ex-1-l-rr5ld8,,14/05/2026,2024.0
